"Sales Console",06md0000001UlzVAAS,"Entity","Clients","Account","true"
"Sales Console",06md0000001UlzVAAS,"Entity","Contacts","Contact","true"
"Sales Console",06md0000001UlzVAAS,"Entity","Opportunities","Opportunity","true"
"Sales Console",06md0000001UlzVAAS,"Entity","Campaigns","Campaign","true"
"Sales Console",06md0000001UlzVAAS,"Standard","Tasks","Task","true"
"Sales Console",06md0000001UlzVAAS,"Standard","Forward Calendar","Event","true"
"Sales Console",06md0000001UlzVAAS,"Standard","Notes","ContentNote","true"
"Sales Console",06md0000001UlzVAAS,"Standard","Reports","Report","true"
"Sales Console",06md0000001UlzVAAS,"Standard","Dashboards","Dashboard","true"
"Sales Console",06md0000001UlzVAAS,"Standard","Chatter","Feed","true"
"Sales Console",06md0000001UlzVAAS,"Standard","Groups","CollaborationGroup","true"
"Sales Console",06md0000001UlzVAAS,"Entity","Contact Educations","Contact_Education__c","true"
"Sales Console",06md0000001UlzVAAS,"Entity","Contact Positions","Contact_Position__c","true"
"Sales Console",06md0000001UlzVAAS,"Entity","Contact Boards","Contact_Boards__c","true"
"Sales Console",06md0000001UlzVAAS,"Entity","Participants","Participant__c","true"
"Sales Console",06md0000001UlzVAAS,"Entity","Participants","Additional_Wells_Fargo_Attendee__c","true"
"Sales Console",06md0000001UlzVAAS,"TabApexPage","WFSReports_VFP","null","true"
"Service Console",06md0000001UmVHAA0,"Entity","Cases","Case","true"
"Service Console",06md0000001UmVHAA0,"Entity","Contacts","Contact","true"
"Service Console",06md0000001UmVHAA0,"Entity","Clients","Account","true"
"Service Console",06md0000001UmVHAA0,"Standard","Reports","Report","true"
"Service Console",06md0000001UmVHAA0,"Standard","Dashboards","Dashboard","true"
"Service Console",06md0000001UmVHAA0,"Standard","Chatter","Feed","true"
"Service Console",06md0000001UmVHAA0,"Entity","Contact Educations","Contact_Education__c","true"
"Service Console",06md0000001UmVHAA0,"Entity","Contact Positions","Contact_Position__c","true"
"Service Console",06md0000001UmVHAA0,"Entity","Contact Boards","Contact_Boards__c","true"
"Service Console",06md0000001UmVHAA0,"Entity","Participants","Participant__c","true"
"Service Console",06md0000001UmVHAA0,"Entity","Participants","Additional_Wells_Fargo_Attendee__c","true"
"Service Console",06md0000001UmVHAA0,"TabApexPage","WFSReports_VFP","null","true"
"Sales",06m18000000CylyAAC,"Entity","Opportunities","Opportunity","true"
"Sales",06m18000000CylyAAC,"Standard","Tasks","Task","true"
"Sales",06m18000000CylyAAC,"Standard","Notes","ContentNote","true"
"Sales",06m18000000CylyAAC,"Entity","Clients","Account","true"
"Sales",06m18000000CylyAAC,"Entity","Contacts","Contact","true"
"Sales",06m18000000CylyAAC,"Entity","Campaigns","Campaign","true"
"Sales",06m18000000CylyAAC,"Standard","Dashboards","Dashboard","true"
"Sales",06m18000000CylyAAC,"Standard","Reports","Report","true"
"Sales",06m18000000CylyAAC,"Standard","Chatter","Feed","true"
"Sales",06m18000000CylyAAC,"Standard","Groups","CollaborationGroup","true"
"Sales",06m18000000CylyAAC,"Standard","Forward Calendar","Event","true"
"Sales",06m18000000CylyAAC,"Entity","Cases","Case","true"
"Sales",06m18000000CylyAAC,"Entity","Contact Educations","Contact_Education__c","true"
"Sales",06m18000000CylyAAC,"Entity","Contact Positions","Contact_Position__c","true"
"Sales",06m18000000CylyAAC,"Entity","Contact Boards","Contact_Boards__c","true"
"Sales",06m18000000CylyAAC,"Entity","Participants","Participant__c","true"
"Sales",06m18000000CylyAAC,"Entity","Participants","Additional_Wells_Fargo_Attendee__c","true"
"Sales",06m18000000CylyAAC,"TabApexPage","WFSReports_VFP","null","true"
"CIB Banking Salesforce",06m18000000CyoOAAS,"TabFlexiPage","Swyft Mobile For Salesforce Config","0M02f0000004XQP","true"
"CIB Banking Salesforce",06m18000000CyoOAAS,"Entity","Clients","Account","true"
"CIB Banking Salesforce",06m18000000CyoOAAS,"Entity","Opportunities","Opportunity","true"
"CIB Banking Salesforce",06m18000000CyoOAAS,"Entity","Call Reports","Call_Report__c","true"
"CIB Banking Salesforce",06m18000000CyoOAAS,"Entity","Contacts","Contact","true"
"CIB Banking Salesforce",06m18000000CyoOAAS,"Standard","Dashboards","Dashboard","true"
"CIB Banking Salesforce",06m18000000CyoOAAS,"Standard","Reports","Report","true"
"CIB Banking Salesforce",06m18000000CyoOAAS,"Entity","Cases","Case","true"
"CIB Banking Salesforce",06m18000000CyoOAAS,"Entity","Deals Done Away","Deals_Done_Away__c","true"
"CIB Banking Salesforce",06m18000000CyoOAAS,"Entity","Merge Queues","Merge_Queue__c","true"
"CIB Banking Salesforce",06m18000000CyoOAAS,"Entity","Events","Event__c","true"
"CIB Banking Salesforce",06m18000000CyoOAAS,"Entity","FSG Pipeline","Pre_Deals__c","true"
"CIB Banking Salesforce",06m18000000CyoOAAS,"Entity","Deals of the Week","Deal_Depository__c","true"
"CIB Banking Salesforce",06m18000000CyoOAAS,"Entity","Conflict Requests and Approvals","Conflict_Request_and_Approval__c","true"
"CIB Banking Salesforce",06m18000000CyoOAAS,"Entity","Contact Positions","Contact_Position__c","true"
"CIB Banking Salesforce",06m18000000CyoOAAS,"Entity","Contact Boards","Contact_Boards__c","true"
"CIB Banking Salesforce",06m18000000CyoOAAS,"Entity","Booking Checklist","Booking_Checklist__c","true"
"CIB Banking Salesforce",06m18000000CyoOAAS,"Entity","Campaigns","Campaign","true"
"CIB Banking Salesforce",06m18000000CyoOAAS,"Entity","Credit Facilities","Credit_Facilities__c","true"
